
ADVERSARIAL
0,000790352
0,015021
0,0446913
5,91274e-05
0,00342025
0,0591086
0,000842286
0,000227165
0,0143232
0,038337
0,000500926
0,0620236
0,00036886
0,0258303
0,00394352
0,00782941
0,0446634
0,0243726
0,00451853
3,22331e-07
0,0361232
0,0263327
0,000737422
0,00459966
0,00109103
1,31578e-07
0,0071478
0,0115129
0,00141374
0,0832994
0,000537823
0,0576303
0,00881237
0,000423687
2,74093e-06
0,000240226
0,00337292
0,0086704
0,113026
0,00428934
4,06408e-06
8,25641e-05
0,1127
0,02767
0,0796818
0,0423889
0,0626003
0,0280243
0,00417181
0,0385773
0,0817179
0,0590333
5,84919e-05
0,00645409
0,00531498
3,6853e-05
0,00844587
0,0364223
0,00885749
0,00264299
0,062411
0,0913821
0,0165053
0,0259805
0,0018117
0,000888249
0,0159772
0,0844188
0,02833
3,31699e-06
0,0368676
0,0242329
0,073508
7,4029e-09
0,0489892
0,104468
0,104677
0,102156
0,0803128
4,30684e-05
0,0460569
0,000957576
2,13506e-09
0,0507056
0,0352211
4,54456e-05
0,0209136
0,0147528
6,28482e-07
0,112512
0,00919489
3,74954e-06
2,02136e-08
0,0760207
0,000348874
0,00160108
0,0534325
0,00200963
0,023666
0,000934373
0,00195225
0,00725699
2,40006e-05
0,0170835
0,0335705
0,0137201
0,0511074
0,0140357
0,0510066
0,00126403
5,72515e-05
5,15673e-08
0,0138118
0,000957266
0,00257167
0,0608263
0,00699613
0,027276
0,0728143
0,0111112
0,00050969
2,61072e-05
0,0144099
0,000496614
0,0116221
0,00360143
0,0459563
0,0375802
0,0755633
0,176341
0,00018329
5,36898e-08
0,0210029
0,0770881
0,0116916
8,53787e-07
0,00413243
0,000727175
6,39875e-05
4,50064e-08
0,0253811
0,051201
0,0428011
0,0109337
0,0180322
0,00326771
0,00967092
1,61397e-06
0,0652275
7,74116e-08
0,0276468
0,0107374
0,0323017
0,00492742
0,176152
0,0353224
0,0597115
0,0465896
0,0236399
0,000148247
0,00159408
0,000187828
0,0815668
0,00203757
0,0272615
2,74679e-05
0,100531
0,00213907
0,0296205
0,0513649
0,000563494
2,03111e-06
0,0275544
0,036629
4,03499e-05
0,00746748
0,00292505
0,00467407
0,0230993
0,00283542
0,0914996
0,000194818
0,0294249
0,0194523
0,0543071
0,0216147
0,0169786
0,0815993
0,0139097
0,00123032
0,0200823
0,014229
0,000472871
0,129002
0,0412111
0,0204279
3,13821e-05
0,0281388
0,000911682
0,000333896
0,0708588
0,075989
3,58807e-05
1,78499e-06
0,012383
0,00797118
0,0422748
0,0147704
0,0104587
0,0190159
0,0505746
0,00311712
0,0460236
8,8749e-06
0,00362933
0,0193193
9,83734e-05
0,00593152
0,0158426
0,0642369
0,0121587
0,000119308
0,0160049
0,000829578
0,0178032
0,0306147
0,0376501
0,00125327
1,56649e-06
0,0235399
0,00203353
1,18288e-07
0,0752814
0,0162104
0,00435603
0,000659357
0,129408
0,0341547
0,0153057
0,0394884
0,00093345
0,0717839
0,154209
0,00211568
0,00292223
0,00017096
0,0540657
0,0782046
0,00313288
0,0842391
2,37059e-06
0,00206277
0,015708
0,041215
0,00282605
0,00358306
0,0567048
0,000173712
6,62229e-05
0,0301972
0,0406171
0,0110115
0,00130693
0,0057248
0,058706
0,00477204
0,00123347
0,0692822
0,0292686
0,0428862
8,06217e-06
0,00727377
0,0162649
0,0091998
0,0684853
0,00552614
0,0549582
0,010202
0,000855455
0,0373157
0,0606503
0,0174042
0,000677601
0,00164248
0,130597
0,0499266
0,0213903
0,052747
0,0157505
0,0248491
0,0376707
0,00803462
4,03118e-06
0,0197007
0,0772838
0,113019
0,0161827
0,0469678
0,0777329
0,0378258
0,0406972
0,0250679
0,122697
0,0782013
0,00267008
0,0757062
0,00725981
0,052032
0,0342335
0,00126044
0,018394
0,00835701
2,22264e-07
0,0155251
0,051973
2,56937e-05
0,013934
0,0201926
0,000135602
1,13924e-05
6,61482e-06
0,0160489
0,0515703
0,00259166
0,00876383
0,0381451
0,000130392
0,0238597
0,0171276
0,0744926
0,000521899
0,0255731
0,0193639
0,00262229
0,00185657
0,002496
0,0356046
6,3812e-05
8,00908e-07
7,39649e-07
0,00306067
0,00084264
0,00496648
0,00193918
0,0728659
0,00539718
0,00731126
0,0042606
0,0280768
4,58162e-10
1,69277e-08
0,0242127
3,53391e-05
0,0334638
