% 1. Title: Adversarial Recognition
% 
% 2. Sources:
%      (a) Creator: Melanie Ducoffe
%      (b) Date: March, 7, 2017
% 
@RELATION adversarial_fisher

@ATTRIBUTE pred0  NUMERIC
@ATTRIBUTE class        {0, 1}
@DATA
0.000790352,0
0.015021,0
0.0446913,0
5.91E-005,0
0.00342025,0
0.0591086,0
0.000842286,0
0.000227165,0
0.0143232,0
0.038337,0
0.000500926,0
0.0620236,0
0.00036886,0
0.0258303,0
0.00394352,0
0.00782941,0
0.0446634,0
0.0243726,0
0.00451853,0
3.22E-007,0
0.0361232,0
0.0263327,0
0.000737422,0
0.00459966,0
0.00109103,0
1.32E-007,0
0.0071478,0
0.0115129,0
0.00141374,0
0.0832994,0
0.000537823,0
0.0576303,0
0.00881237,0
0.000423687,0
2.74E-006,0
0.000240226,0
0.00337292,0
0.0086704,0
0.113026,0
0.00428934,0
4.06E-006,0
8.26E-005,0
0.1127,0
0.02767,0
0.0796818,0
0.0423889,0
0.0626003,0
0.0280243,0
0.00417181,0
0.0385773,0
0.0817179,0
0.0590333,0
5.85E-005,0
0.00645409,0
0.00531498,0
3.69E-005,0
0.00844587,0
0.0364223,0
0.00885749,0
0.00264299,0
0.062411,0
0.0913821,0
0.0165053,0
0.0259805,0
0.0018117,0
0.000888249,0
0.0159772,0
0.0844188,0
0.02833,0
3.32E-006,0
0.0368676,0
0.0242329,0
0.073508,0
7.40E-009,0
0.0489892,0
0.104468,0
0.104677,0
0.102156,0
0.0803128,0
4.31E-005,0
0.0460569,0
0.000957576,0
2.14E-009,0
0.0507056,0
0.0352211,0
4.54E-005,0
0.0209136,0
0.0147528,0
6.28E-007,0
0.112512,0
0.00919489,0
3.75E-006,0
2.02E-008,0
0.0760207,0
0.000348874,0
0.00160108,0
0.0534325,0
0.00200963,0
0.023666,0
0.000934373,0
0.00195225,0
0.00725699,0
2.40E-005,0
0.0170835,0
0.0335705,0
0.0137201,0
0.0511074,0
0.0140357,0
0.0510066,0
0.00126403,0
5.73E-005,0
5.16E-008,0
0.0138118,0
0.000957266,0
0.00257167,0
0.0608263,0
0.00699613,0
0.027276,0
0.0728143,0
0.0111112,0
0.00050969,0
2.61E-005,0
0.0144099,0
0.000496614,0
0.0116221,0
0.00360143,0
0.0459563,0
